Method,Comparison_Category,ARI_non_noise,NMI_non_noise,ARI_with_noise,NMI_with_noise,Purity,Coverage,Coverage_x_ARI,Status,DBCV
HDBSCAN,unsupervised_density,0.43767350228567886,0.3845133946112554,0.40472625595349404,0.3546850016120095,0.8436606291706387,0.959743824336688,0.4200544408944896,OK,0.35442795926562604
OPTICS,unsupervised_density,0.45921037689547256,0.37784957125200963,0.4540897256078204,0.37301837363692947,0.8390064397424103,0.9945105215004575,0.45668955140473805,OK,0.5509821176528931
K-Means(k=2),supervised_k,0.40145489456067096,0.31984424436830533,0.40145489456067096,0.31984424436830533,0.8170173833485819,1.0,0.40145489456067096,OK,
GMM(k=2),supervised_k,0.3326791798136054,0.2576032825117328,0.3326791798136054,0.2576032825117328,0.7886550777676121,1.0,0.3326791798136054,OK,
